, , , , , , , , , ,CPU,CPU,CPU,CPU,MEMORY,MEMORY,MEMORY,HDD,HDD,HDD,HDD,HDD,HDD,UPS,UPS,UPS,WINDOWS,WINDOWS,WINDOWS,LAIN_LAIN,LAIN_LAIN,LAIN_LAIN,LAIN_LAIN,LAIN_LAIN,EDC_BCA,EDC_BCA,EDC_BCA,EDC_BCA,EDC_MANDIRI,EDC_MANDIRI,EDC_MANDIRI,EDC_MANDIRI,EDC_MTI,EDC_MTI,EDC_MTI,EDC_MTI,PREVENTIF,PREVENTIF,PREVENTIF
200,200,Succes,2025-09-28 09:23:14,2025-09-28 09:23:25,G026,TUZQ,PINTU TOL BITUNG,01,10.43.219.226,Microsoft Windows 10 Pro,64-bit,12th Gen Intel(R) Core(TM) i3-12100,6,31,16 GB,16 GB,ADATA LEGEND 850,476 GB,169 GB,307 GB,Healthy,SSD,OK,Terpasang: OK Battery_Status: 2 Battery_Level: 100%,Prod,"Windows(R), Professional edition:
    The machine is permanently activated.",7B9YY-N32T2-GJ2K2-MJKHT-WXCKC,"11/15/2024, 13:52:06",1000 MB/s,0 hari 8 jam 35 menit,60,0.41 Menit,"""10.43.219.226"",""172.31.31.1""",NEB:Y(60)|PC1:1 N|PCO:N|E01:10.43.219.226 COM8,5,0,ONLINE-2025-09-28 08:49:27,NEM:Y(60)|PC2:0-N|PCO:N|E02:10.43.219.226 COM9,8,0,ONLINE-2025-09-28 09:12:04,"'-",0,0,NOEDC-0000-00-00 00:00:00,BELUM MEMERLUKAN PERBAIKAN,OK,"'-"
200,200,Succes,2025-09-28 09:23:14,2025-09-28 09:23:25,G026,TFK2,HYBRID GATOT SUBROTO 3/,01,10.43.101.130,Microsoft Windows 7 Professional ,32-bit,Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz,11,81,4 GB,4 GB,ADATA SU900 SCSI Disk Device,477 GB,320 GB,157 GB,"'

Healthy",,OK,Terpasang: OK Battery_Status: 2 Battery_Level: 100%,PT.INDODAYA CIPTA LESTARIICA CS 1238,"Windows(R) 7, Professional edition:
    The machine is permanently activated.",D84M3-9CB67-D6YHK-JBFPV-8FBHW,"2/2/2023, 13:55:49",1000 MB/s,0 hari 5 jam 7 menit,48,0.32 Menit,"""10.43.101.130"",""172.31.31.1""",NEB:Y(60)|PC1:1 N|PCO:Y|E01:10.43.101.131 COM8,2,0,ONLINE-2025-09-28 01:57:59,NEM:Y(60)|PC2:0-N|PCO:Y|E02:10.43.101.130 COM9,6,0,ONLINE-2025-09-27 22:55:03,"'-",0,0,NOEDC-0000-00-00 00:00:00,BELUM MEMERLUKAN PERBAIKAN,OK,"'-"
200,200,Succes,2025-09-28 09:23:14,2025-09-28 09:23:25,G026,F843,GONDRONG/,01,10.43.6.226,Microsoft Windows 10 Pro,64-bit,Intel(R) Core(TM) i3-10100 CPU @ 3.60GHz,7,42,8 GB,8 GB,ADATA SX6000LNP,476 GB,184 GB,292 GB,Healthy,SSD,OK,NOK,"'-","Windows(R), Professional edition:
    The machine is permanently activated.",KNW4R-FT9JC-9T7T8-77WYM-KD8GG,"1/25/2024, 15:23:33",1000 MB/s,0 hari 1 jam 20 menit,49,0.59 Menit,"""10.43.6.226"",""172.31.31.1""",NEB:Y(60)|PC1:1 Y|PCO:N|E01:10.43.6.226 COM8,33,0,ONLINE-2025-09-27 19:34:14,NEM:Y(60)|PC2:1-Y|PCO:N|E02:10.43.6.226 COM9,1,0,ONLINE-2025-09-28 09:11:12,"'-",0,0,NOEDC-0000-00-00 00:00:00,BELUM MEMERLUKAN PERBAIKAN,OK,"'-"
200,200,Succes,2025-09-28 09:23:14,2025-09-28 09:23:25,G026,TI0D,RUKO CORDOBA/,01,10.43.136.66,Microsoft Windows 10 Pro,64-bit,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,14,53,8 GB,8 GB,ADATA SX6000PNP,476 GB,307 GB,169 GB,Healthy,SSD,OK,Terpasang: OK Battery_Status: 2 Battery_Level: 100%,Prod,"Windows(R), Professional edition:
    The machine is permanently activated.",YNK2H-YBW8K-DDGXH-TRF7V-8HV24,"5/8/2024, 12:46:19",1000 MB/s,0 hari 3 jam 2 menit,66,0.7 Menit,"""10.43.136.66"",""172.31.31.1""",NEB:Y(60)|PC1:1 N|PCO:N|E01:10.43.136.66 COM8,4,0,ONLINE-2025-09-28 08:39:11,NEM:Y(60)|PC2:0-N|PCO:N|E02:10.43.136.66 COM9,2,0,ONLINE-2025-09-27 19:12:30,"'-",0,0,NOEDC-0000-00-00 00:00:00,BELUM MEMERLUKAN PERBAIKAN,OK,"'-"
200,200,Succes,2025-09-28 09:23:14,2025-09-28 09:23:26,G026,F03G,RAYA RAJEG TANJAKAN,01,10.43.48.130,Microsoft Windows 10 Pro,64-bit,Intel(R) Pentium(R) Gold G7400,14,51,8 GB,8 GB,ADATA LEGEND 850,476 GB,111 GB,366 GB,Healthy,SSD,OK,NOK,"'-","Windows(R), Professional edition:
    The machine is permanently activated.",RNX27-PCBC3-GQ7JW-HMX2D-MDXCT,"11/14/2024, 13:44:05",1000 MB/s,0 hari 2 jam 49 menit,64,0.58 Menit,"""10.43.48.130"",""172.31.31.1""",NEB:Y(60)|PC1:0 N|PCO:N|E01:10.43.48.130 COM8,1,0,ONLINE-2025-09-28 08:57:20,NEM:Y(60)|PC2:0-N|PCO:N|E02:10.43.48.130 COM9,2,0,ONLINE-2025-09-28 08:19:48,"'-",0,0,NOEDC-0000-00-00 00:00:00,BELUM MEMERLUKAN PERBAIKAN,OK,"'-"
200,200,Succes,2025-09-28 09:23:14,2025-09-28 09:23:26,G026,THIJ,REGENCY 2/,01,10.43.219.130,Microsoft Windows 10 Pro,64-bit,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,3,50,8 GB,8 GB,ADATA SX6000LNP,476 GB,112 GB,364 GB,Healthy,SSD,OK,NOK,"'-","Windows(R), Professional edition:
    The machine is permanently activated.",MMX8C-JHNX8-JJMKF-DXFKJ-7FTPT,"1/25/2024, 15:23:33",1000 MB/s,0 hari 2 jam 56 menit,57,0.4 Menit,"""10.43.219.130""",NEB:Y(60)|PC1:1 N|PCO:N|E01:10.43.219.130 COM8,12,0,ONLINE-2025-09-27 22:17:00,NEM:Y(60)|PC2:1-N|PCO:N|E02:10.43.219.130 COM9,2,0,ONLINE-2025-09-28 08:49:36,"'-",0,0,NOEDC-0000-00-00 00:00:00,BELUM MEMERLUKAN PERBAIKAN,OK,"'-"
200,200,Succes,2025-09-28 09:23:14,2025-09-28 09:23:26,G026,T4LV,TALAGA CIKUPA/,01,10.43.134.130,Microsoft Windows 10 Pro,64-bit,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,4,55,8 GB,8 GB,ADATA SX6000PNP,476 GB,108 GB,369 GB,Healthy,SSD,OK,Terpasang: OK Battery_Status: 2 Battery_Level: 100%,PT.INDODAYA CIPTA LESTARIICA CS 1238,"Windows(R), Professional edition:
    The machine is permanently activated.",TMQT8-NFT9Q-KWFK6-PYY3H-94TPT,"1/25/2024, 15:23:33",1000 MB/s,0 hari 3 jam 1 menit,58,0.45 Menit,"""10.43.134.130"",""172.31.31.1""",NEB:Y(60)|PC1:1 N|PCO:N|E01:10.43.134.131 COM8,7,0,ONLINE-2025-09-27 21:01:48,NEM:Y(60)|PC2:0-N|PCO:N|E02:10.43.134.131 COM9,1,0,ONLINE-2025-09-28 09:22:14,"'-",0,0,NOEDC-0000-00-00 00:00:00,BELUM MEMERLUKAN PERBAIKAN,OK,"'-"
200,200,Succes,2025-09-28 09:23:14,2025-09-28 09:23:26,G026,F875,MODERNLAND 2/,01,10.43.39.34,Microsoft Windows 10 Pro,64-bit,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,11,51,8 GB,8 GB,V-GEN08MA23SCY512MTNV,476 GB,292 GB,184 GB,Healthy,SSD,OK,NOK,"'-","Windows(R), Professional edition:
    The machine is permanently activated.",R4JTN-WDHMV-JYFHB-8QCWM-R6YW2,"2/27/2024, 07:40:09",1000 MB/s,0 hari 2 jam 56 menit,68,0.33 Menit,"""10.43.39.34"",""172.31.31.2""",NEB:Y(60)|PC1:1 N|PCO:N|E01:10.43.39.34 COM8,2,0,ONLINE-2025-09-28 08:21:25,NEM:Y(60)|PC2:0-N|PCO:N|E02:10.43.39.34 COM9,10,0,ONLINE-2025-09-27 22:14:05,"'-",0,0,NOEDC-0000-00-00 00:00:00,BELUM MEMERLUKAN PERBAIKAN,OK,"'-"
200,200,Succes,2025-09-28 09:23:14,2025-09-28 09:23:26,G026,T088,PLUS ECO BANJAR WIJAYA/,01,10.43.213.66,Microsoft Windows 7 Professional ,32-bit,Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz,0,66,4 GB,4 GB,ADATA SU900 SCSI Disk Device,477 GB,346 GB,131 GB,"'

Healthy",,OK,NOK,"'-","Windows(R) 7, Professional edition:
    The machine is permanently activated.",HQ3HY-646KK-6J92H-FYM4B-CW4KY,"12/29/2017, 11:07:30",1000 MB/s,0 hari 3 jam 4 menit,75,0.23 Menit,"""10.43.213.66"",""172.31.31.1""",NEB:Y(60)|PC1:1 N|PCO:N|E01:10.43.213.67 COM8,4,0,ONLINE-2025-09-28 08:53:29,NEM:Y(60)|PC2:0-N|PCO:N|E02:10.43.213.67 COM9,1,0,ONLINE-2025-09-28 09:14:36,"'-",0,0,NOEDC-0000-00-00 00:00:00,BELUM MEMERLUKAN PERBAIKAN,OK,"'-"
200,200,Succes,2025-09-28 09:23:14,2025-09-28 09:23:26,G026,T7Y9,SPBU PRABU KIANSANTANG,01,10.43.55.162,Microsoft Windows 10 Pro,64-bit,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,5,43,8 GB,8 GB,ADATA SX6000LNP,476 GB,118 GB,359 GB,Healthy,SSD,OK,NOK,"'-","Windows(R), Professional edition:
    The machine is permanently activated.",QCMNR-7F3R8-7MG33-GVTR3-63B6G,"1/25/2024, 15:23:33",1000 MB/s,0 hari 2 jam 57 menit,58,0.38 Menit,"""10.43.55.162""",NEB:Y(60)|PC1:1 N|PCO:N|E01:10.43.55.162 COM8,25,0,ONLINE-2025-09-27 21:53:33,NEM:Y(60)|PC2:0-N|PCO:N|E02:10.43.55.162 COM9,2,0,ONLINE-2025-09-28 08:38:25,"'-",0,0,NOEDC-0000-00-00 00:00:00,BELUM MEMERLUKAN PERBAIKAN,OK,"'-"
200,200,Succes,2025-09-28 09:23:14,2025-09-28 09:23:26,G026,TKQD,MODERN GOLF BOULEVARD NO A07,01,10.43.48.66,Microsoft Windows 10 Pro,64-bit,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,4,61,8 GB,8 GB,ADATA SX6000LNP,476 GB,107 GB,369 GB,Healthy,SSD,OK,Terpasang: OK Battery_Status: 2 Battery_Level: 100%,PT.INDODAYA CIPTA LESTARIICA CS 1238,"Windows(R), Professional edition:
    The machine is permanently activated.",DNJ3W-7F23B-VJYK7-MHYFW-33XCT,"11/15/2024, 13:52:06",1000 MB/s,0 hari 3 jam 50 menit,50,0.49 Menit,"""10.43.48.66"",""172.31.31.1""",NEB:Y(60)|PC1:1 N|PCO:N|E01:10.43.48.66 COM8,4,0,ONLINE-2025-09-28 09:13:43,NEM:Y(60)|PC2:0-N|PCO:N|E02:10.43.48.66 COM9,3,0,ONLINE-2025-09-28 08:02:06,"'-",0,0,NOEDC-0000-00-00 00:00:00,BELUM MEMERLUKAN PERBAIKAN,OK,"'-"
200,200,Succes,2025-09-28 09:23:14,2025-09-28 09:23:26,G026,TGZZ,JATIWARINGIN MAUK/,01,10.43.190.162,Microsoft Windows 10 Pro,64-bit,Intel(R) Core(TM) i3-10105 CPU @ 3.70GHz,41,49,8 GB,8 GB,ADATA SX6000LNP,476 GB,244 GB,232 GB,Healthy,SSD,OK,Terpasang: OK Battery_Status: 2 Battery_Level: 100%,PT.INDODAYA CIPTA LESTARIICA CS 1238,"Windows(R), Professional edition:
    The machine is permanently activated.",CHC6N-HM7YV-JR432-RDJKP-PGY6G,"1/25/2024, 15:23:33",1000 MB/s,0 hari 3 jam 4 menit,49,0.47 Menit,"""10.43.190.162""",NEB:Y(60)|PC1:1 N|PCO:N|E01:10.43.190.162 COM8,2,0,ONLINE-2025-09-27 21:12:23,NEM:Y(60)|PC2:0-N|PCO:N|E02:10.43.190.162 COM9,10,3,ONLINE-2025-09-27 20:26:34,"'-",0,0,NOEDC-0000-00-00 00:00:00,BELUM MEMERLUKAN PERBAIKAN,OK,"'-"
200,200,Succes,2025-09-28 09:23:14,2025-09-28 09:23:26,G026,TKPJ,PINANG GRIYA/,01,10.43.136.162,Microsoft Windows 10 Pro,64-bit,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,18,53,8 GB,8 GB,ADATA SX6000PNP,476 GB,249 GB,227 GB,Healthy,SSD,OK,Terpasang: OK Battery_Status: 2 Battery_Level: 100%,HHhFiBuHjAgAgAt4041:40-UPS-Smart-UPS,"Windows(R), Professional edition:
    The machine is permanently activated.",7TGH3-NKC3J-CHYKK-63GBW-DGP2T,"8/10/2023, 11:03:08",1000 MB/s,0 hari 2 jam 54 menit,77,0.46 Menit,"""10.43.136.162"",""172.31.31.1""",NEB:Y(60)|PC1:1 N|PCO:N|E01:10.43.136.162 COM8,23,0,ONLINE-2025-09-27 19:49:41,NEM:Y(60)|PC2:0-N|PCO:N|E02:10.43.136.162 COM9,6,0,ONLINE-2025-09-27 17:54:36,"'-",0,0,NOEDC-0000-00-00 00:00:00,BELUM MEMERLUKAN PERBAIKAN,OK,"'-"
200,200,Succes,2025-09-28 09:23:14,2025-09-28 09:23:26,G026,FD94,PERMATA REGENCY/,01,10.43.248.194,Microsoft Windows 7 Professional ,32-bit,Intel(R) Pentium(R) CPU G4400 @ 3.30GHz,0,68,4 GB,4 GB,ADAT    SU800 SCSI Disk Device,477 GB,180 GB,296 GB,"'

Healthy",,OK,Terpasang: OK Battery_Status: 2 Battery_Level: 100%,  PT.METRINDO SUPRA SINATRIAWEARNES WA1250EU,"Windows(R) 7, Professional edition:
    The machine is permanently activated.",P4WK3-WD9K6-XVX2R-CRY2Q-F3WDC,"2/23/2021, 19:19:12",1000 MB/s,0 hari 2 jam 57 menit,54,0.98 Menit,"""10.43.248.194"",""172.31.31.1""",NEB:Y(60)|PC1:1 N|PCO:N|E01:10.43.248.195 COM8,4,0,ONLINE-2025-09-27 22:41:20,NEM:Y(60)|PC2:0-N|PCO:N|E02:10.43.248.195 COM9,9,1,ONLINE-2025-09-27 23:05:06,"'-",0,0,NOEDC-0000-00-00 00:00:00,BELUM MEMERLUKAN PERBAIKAN,OK,"'-"
200,200,Succes,2025-09-28 09:23:14,2025-09-28 09:23:26,G026,TU3Y,RAYA SARWANI JAMBE/,01,10.43.42.98,Microsoft Windows 10 Pro,64-bit,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,5,47,8 GB,8 GB,ADATA SX6000PNP,476 GB,121 GB,355 GB,Healthy,SSD,OK,Terpasang: OK Battery_Status: 2 Battery_Level: 100%,PT.INDODAYA CIPTA LESTARIICA CS 1238,"Windows(R), Professional edition:
    The machine is permanently activated.",DXH2B-NMWXT-72TCQ-RTGMC-GQ8GG,"8/10/2023, 11:03:08",1000 MB/s,0 hari 2 jam 56 menit,53,0.56 Menit,"""10.43.42.98"",""172.31.31.2""",NEB:Y(60)|PC1:1 N|PCO:N|E01:10.43.42.99 COM5,2,0,ONLINE-2025-09-19 20:22:27,NEM:Y(60)|PC2:0-N|PCO:N|E02:10.43.42.99 COM9,1,0,ONLINE-2025-09-11 09:44:08,"'-",0,0,NOEDC-0000-00-00 00:00:00,BELUM MEMERLUKAN PERBAIKAN,OK,"'-"
200,200,Succes,2025-09-28 09:23:14,2025-09-28 09:23:26,G026,F02U,VILLA GRAND TOMANG/,01,10.43.217.130,Microsoft Windows 10 Pro,64-bit,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,10,50,8 GB,8 GB,V-GEN08MA23SCY512MTNV,476 GB,305 GB,171 GB,Healthy,SSD,OK,Terpasang: OK Battery_Status: 2 Battery_Level: 100%,HItFiPuEgAgAgCi4041:40-UPS-Smart-UPS,"Windows(R), Professional edition:
    The machine is permanently activated.",7FT7M-HN9F4-RH368-B6DVM-X4R9F,"1/21/2024, 08:49:40",1000 MB/s,0 hari 3 jam 2 menit,58,0.37 Menit,"""10.43.217.130""",NEB:Y(60)|PC1:1 N|PCO:N|E01:10.43.217.130 COM8,7,0,ONLINE-2025-09-28 08:55:21,NEM:Y(60)|PC2:0-N|PCO:N|E02:10.43.217.130 COM9,4,0,ONLINE-2025-09-28 09:19:16,"'-",0,0,NOEDC-0000-00-00 00:00:00,BELUM MEMERLUKAN PERBAIKAN,OK,"'-"
200,200,Succes,2025-09-28 09:23:14,2025-09-28 09:23:26,G026,T38J,PLUS ECO KOTA BUMI IV/,01,10.43.214.226,Microsoft Windows 10 Pro,64-bit,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,7,44,8 GB,8 GB,ADATA SX6000PNP,476 GB,252 GB,225 GB,Healthy,SSD,OK,Terpasang: OK Battery_Status: 2 Battery_Level: 100%,PT.INDODAYA CIPTA LESTARIICA CS 1238,"Windows(R), Professional edition:
    The machine is permanently activated.",KV3ND-WPMXW-KMDKG-42TQR-8B6PT,"5/4/2023, 12:08:13",1000 MB/s,0 hari 3 jam 11 menit,68,0.56 Menit,"""10.43.214.226""",NEB:Y(60)|PC1:1 N|PCO:N|E01:10.43.214.227 COM8,1,1,"OFFLINE-2025-09-28 08:46:18-THE DEVICE DOES NOT RECOGNIZE THE COMMAND.
",NEM:Y(60)|PC2:0-N|PCO:N|E02:10.43.214.227 COM9,7,0,ONLINE-2025-09-27 19:02:14,"'-",0,0,NOEDC-0000-00-00 00:00:00,BELUM MEMERLUKAN PERBAIKAN,OK,"'-"
200,200,Succes,2025-09-28 09:23:14,2025-09-28 09:23:26,G026,F3TK,TOTAL PERSADA,01,10.43.135.66,Microsoft Windows 10 Pro,64-bit,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,11,45,8 GB,8 GB,ADATA SX6000PNP,476 GB,231 GB,245 GB,Healthy,SSD,OK,Terpasang: OK Battery_Status: 2 Battery_Level: 30%,HJhFiMlHiAgAgDn4041:40-UPS-Smart-UPS,"Windows(R), Professional edition:
    The machine is permanently activated.",BCG9N-GY7WW-8MPK7-BDVKF-GXX86,"8/10/2023, 11:03:08",1000 MB/s,0 hari 2 jam 42 menit,61,0.45 Menit,"""10.43.135.66""",NEB:Y(60)|PC1:1 N|PCO:N|E01:10.43.135.66 COM8,2,0,ONLINE-2025-09-28 07:53:25,NEM:Y(60)|PC2:0-N|PCO:N|E02:10.43.135.66 COM9,5,1,ONLINE-2025-09-27 21:05:37,"'-",0,0,NOEDC-0000-00-00 00:00:00,BELUM MEMERLUKAN PERBAIKAN,OK,"'-"
